overall_rating,potential,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,Total_Frequency,star_signAquarius,star_signAries,star_signCancer,star_signCapricorn,star_signGemini,star_signLeo,star_signLibra,star_signPisces,star_signSagittarius,star_signScopio,star_signTaurus,star_signVirgo
70,75,66,58,58,70,50,67,66,56,67,72,72,73,73,74,69,70,67,80,71,63,78,69,63,68,58,65,70,72,0.375,0,0,0,0,0,0,0,1,0,0,0,0
71,73,64,40,68,77,46.56526092,69,48.05625202,21,44,69,72,70,63.15404255,63,68.33781122,73,70.19854869,76,74,25,80,80,72,56.8804771,53,70,73,68.93270556,0.3,0,0,1,0,0,0,0,0,0,0,0,0
67,67,23,14,17,35,23,26,17,21,44,15,49,33,63,71,49,23,74,40,51,15,44,31,17,38,19,19,16,17,0.364583333,0,1,0,0,0,0,0,0,0,0,0,0
71,73,45,48,78,63,43,39,60,40,66,60,59,60,51,71,57,59,66,69,80,59,79,69,37,55,66,69,72,68,0.361111111,0,0,0,0,1,0,0,0,0,0,0,0
59,67,44,63,61,49,57.84618681,62,51.76514659,54,53,52,60,68,63.56710719,51,62.33008293,62,64.18117854,55,61,52,47,44,59,52.04942554,65,32,33,29.44099989,0,0,0,0,0,0,0,0,0,0,0,0,1
67,71,67,47,51,60,52,59,55,68,66,70,65,74,74,74,55,69,71,63,70,65,78,64,57,61,61,70,69,77,0,0,0,0,0,0,0,0,1,0,0,0,0
66,73,56,42,58,66,43,62,46,38,62,68,65,66,67,67,69,57,71,74,65,46,64,66,55,67,57,63,64,61,0.361111111,0,0,0,0,0,0,0,1,0,0,0,0
63,64,38,45,66,50,45,42,31,37,45,52,57,63,42,55,53,48,57,70,82,42,62,60,40,54,46,63,61,61,0.388888889,0,0,0,0,0,0,0,0,0,0,1,0
61,66,59,29,54,60,41,55,45,36,50,60,63,66,71,60,70,49,73,73,63,35,67,57,42,45,41,60,61,63,0.5,0,0,0,0,0,1,0,0,0,0,0,0
62,68,57,61,49,64,56,62,44,33,41,61,75,77,67,62,60,65,52,56,62,58,29,31,42,58,42,17,17,10,0.166666667,0,0,0,0,0,1,0,0,0,0,0,0
70,75,67,62,52,66,41,69,61,65,60,67,80,76,71,74,71,61,66,66,57,60,56,31,68,57,54,29,34,28,0,0,0,1,0,0,0,0,0,0,0,0,0
64,69,19,18,18,21,13,20,17,19,28,25,41,44,46,55,44,27,52,35,58,18,42,25,21,29,22,18,20,14,0.476190476,0,0,0,0,0,0,0,0,0,0,0,1
59,66,44,38,59,63,40,59,39,52,57,54,59,58,59,60,70,50,61,66,60,55,68,55,55,61,45,46,63,52,0,0,0,0,0,0,0,0,1,0,0,0,0
75,79,17,19,19,34,17,18,16,16,28,18,47,51,46,64,44,33,46,38,60,19,33,26,22,32,24,19,19,17,0.325842697,0,0,1,0,0,0,0,0,0,0,0,0
71,73,14,14,24,30,13,16,11,14,36,22,47,47,54,64,44,26,57,38,55,15,37,30,17,36,25,14,24,14,0.284090909,0,0,1,0,0,0,0,0,0,0,0,0
69,72,15,13,21,38,11,14,10,17,42,17,35,44,61,72,46,29,53,44,62,14,58,43,39,53,36,13,18,14,0.34,0,0,0,0,0,0,1,0,0,0,0,0
72,73,70,53,72,71,49,47,71,50,62,71,68,67,68,74,69,72,85,76,73,69,74,75,59,61,69,72,72,72,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0
70,70,68,45,69,71,22,59,61,51,66,66,58,57,62,69,67,47,70,77,72,45,74,68,63,67,50,69,71,69,0.363636364,0,0,0,0,0,1,0,0,0,0,0,0
68,72,66,60,33,74,66,70,68,66,70,72,73,71,71,75,73,61,48,76,59,68,64,64,68,74,66,59,55,54,0.384615385,0,0,0,0,0,0,0,1,0,0,0,0
68,71,72,48,62,64,46,62,51,54,61,67,70,67,64,65,69,64,72,75,64,58,68,63,42,59,60,64,70,71,0.369230769,0,0,1,0,0,0,0,0,0,0,0,0
65,67,72,61,57,68,61,66,62,49,60,70,60,64,63,64,59,69,57,63,56,65,46,32,52,65,58,32,49,42,0,0,0,1,0,0,0,0,0,0,0,0,0
66,67,18,18,18,27,16,19,15,18,30,21,38,38,54,52,52,29,57,30,59,20,40,28,23,32,35,20,18,16,0.407407407,1,0,0,0,0,0,0,0,0,0,0,0
66,68,46,18,62,46,31,21,14,60,44,49,60,46,54,59,70,40,70,64,74,45,79,68,41,63,56,68,68,67,0.26,0,0,0,0,1,0,0,0,0,0,0,0
65,67,58,50,62,66,58,52,45,56,61,64,62,63,59,63,64,67,76,80,74,56,75,64,51,65,58,59,64,61,0.441176471,0,1,0,0,0,0,0,0,0,0,0,0
67,68,70,58,39,72,69,70,59,63,67,69,64,62,68,63,77,69,70,69,68,68,61,54,61,69,70,38,35,25,0.382352941,0,0,0,0,0,0,0,0,1,0,0,0
62,64,20,18,20,23,18,20,16,21,30,25,59,59,57,59,53,18,76,48,69,22,27,29,26,35,24,21,18,15,0.5,0,0,0,0,0,0,0,0,0,0,0,1
